team,player,period,min,sec,pass zone,x,y,x_end,y_end,pass length,pass angle,outcome
Real Madrid,Luka Modric,1,17,10,Back,31.8,10.6,25.5,4.4,7.8,3.7,1
Real Madrid,Daniel Carvajal,1,17,13,Back,20.4,6.6,16.0,38.8,22.4,1.8,1
Real Madrid,Sergio Ramos,1,17,15,Back,17.0,43.6,36.3,86.9,35.7,1.0,1
Real Madrid,Marcelo,1,17,20,Back,39.5,73.8,41.1,84.8,7.7,1.3,1
Real Madrid,Toni Kroos,1,17,21,Back,40.5,87.2,44.1,96.5,7.4,1.0,1
Real Madrid,Marco Asensio,1,17,24,Back,38.7,94.8,23.9,76.6,19.9,3.8,1
Real Madrid,Sergio Ramos,1,17,26,Back,22.4,74.4,22.2,38.5,24.4,4.7,1
Real Madrid,Raphael Varane,1,17,33,Back,34.8,23.4,34.1,11.9,7.9,4.6,1
Real Madrid,Luka Modric,1,17,36,Right,33.9,4.0,85.3,13.7,54.4,0.1,0
Leganés,Dimitrios Siovas,1,17,40,Back,13.6,84.5,5.9,59.4,18.9,4.3,1
Leganés,Iván Cuéllar,1,17,42,Back,5.9,59.4,48.5,53.3,44.9,6.2,1
Real Madrid,Sergio Ramos,1,17,47,Back,38.6,54.0,36.7,39.4,10.1,4.5,1
Real Madrid,Raphael Varane,1,17,49,Back,38.2,35.7,44.2,33.0,6.6,6.0,1
Real Madrid,Luka Modric,1,17,52,Left,41.7,33.4,54.0,96.9,45.1,1.3,1
Real Madrid,Marcelo,1,17,56,Center,55.1,96.3,82.6,75.3,32.2,5.8,0
Leganés,Unai Bustinza,1,17,59,Back,19.4,26.2,31.8,6.5,18.7,5.5,1
Leganés,Juanfran,1,18,1,Back,33.2,6.7,0.0,28.3,38.5,2.8,0
Real Madrid,Toni Kroos,1,18,29,Center,99.5,99.5,91.9,56.3,30.4,4.4,0
Real Madrid,Marcelo,1,18,33,Center,69.7,53.0,74.9,36.7,12.4,5.2,1
Real Madrid,Luka Modric,1,18,35,Center,72.0,35.1,97.6,31.9,27.0,6.2,1
Real Madrid,Sergio Ramos,1,18,39,Center,97.6,31.8,94.6,47.0,10.8,1.9,0
Real Madrid,Toni Kroos,1,19,3,Right,99.5,0.5,83.6,8.2,17.5,2.8,1
Real Madrid,Marco Asensio,1,19,4,Right,83.6,8.2,75.7,15.0,9.5,2.6,1
Real Madrid,Daniel Carvajal,1,19,6,Center,75.3,14.4,76.9,33.7,13.2,1.4,1
Real Madrid,Luka Modric,1,19,8,Center,77.1,34.0,87.1,33.0,10.5,6.2,0
Leganés,Juanfran,1,19,9,Left,10.4,64.0,80.8,100.0,78.2,0.3,0
Real Madrid,Daniel Carvajal,1,19,19,Back,22.1,0.0,11.4,26.1,22.2,2.1,1
Real Madrid,Thibaut Courtois,1,19,23,Back,12.4,46.4,24.8,58.4,15.4,0.6,1
Real Madrid,Casemiro,1,19,27,Back,24.8,58.4,30.5,67.3,8.5,0.8,1
Real Madrid,Sergio Ramos,1,19,28,Back,30.5,67.3,27.2,63.9,4.2,3.7,1
Real Madrid,Casemiro,1,19,29,Back,32.2,67.9,44.9,98.3,24.6,1.0,1
Real Madrid,Marco Asensio,1,19,32,Back,44.9,98.3,32.9,73.6,21.0,4.1,1
Real Madrid,Casemiro,1,19,34,Back,36.8,63.6,30.2,37.4,19.1,4.3,1
Real Madrid,Raphael Varane,1,19,37,Back,31.7,35.1,39.9,4.1,22.8,5.1,1
Real Madrid,Daniel Carvajal,1,19,40,Back,39.5,7.0,27.5,36.9,23.9,2.1,1
Real Madrid,Raphael Varane,1,19,43,Back,28.6,40.0,38.3,76.0,26.5,1.2,1
Real Madrid,Sergio Ramos,1,19,46,Left,42.9,84.8,52.1,97.8,13.1,0.7,1
Real Madrid,Marcelo,1,19,48,Left,52.0,97.1,57.8,97.2,6.1,0.0,1
Real Madrid,Marco Asensio,1,19,49,Left,58.2,97.5,54.3,89.1,7.0,4.1,1
Real Madrid,Toni Kroos,1,19,51,Back,54.1,88.3,45.0,82.3,10.4,3.5,1
Real Madrid,Sergio Ramos,1,19,53,Back,44.9,69.3,45.0,34.3,23.8,4.7,1
Real Madrid,Raphael Varane,1,19,58,Right,59.8,25.2,55.8,6.2,13.6,4.4,1
Real Madrid,Daniel Carvajal,1,20,0,Back,54.3,7.0,47.2,33.9,19.8,2.0,1
Real Madrid,Casemiro,1,20,2,Back,47.1,35.5,46.2,69.7,23.3,1.6,1
Real Madrid,Toni Kroos,1,20,4,Back,46.2,69.7,46.7,59.3,7.1,4.8,1
Real Madrid,Sergio Ramos,1,20,6,Center,46.7,59.3,52.2,74.7,12.0,1.1,1
Real Madrid,Toni Kroos,1,20,7,Left,52.2,74.7,65.6,98.1,21.2,0.8,1
Real Madrid,Marco Asensio,1,20,10,Left,76.8,95.8,77.4,98.3,1.8,1.2,1
Real Madrid,Marcelo,1,20,14,Left,65.5,93.2,59.9,97.5,6.6,2.7,1
Real Madrid,Toni Kroos,1,20,17,Center,58.4,93.3,59.6,66.9,18.0,4.8,1
Real Madrid,Casemiro,1,20,20,Center,63.0,58.2,71.3,33.3,19.0,5.2,1
Real Madrid,Gareth Bale,1,20,24,Center,61.4,35.7,59.9,41.6,4.3,1.9,1
Real Madrid,Casemiro,1,20,26,Center,59.7,41.2,54.0,39.4,6.1,3.3,1
Real Madrid,Gareth Bale,1,20,28,Center,55.6,42.2,53.9,68.7,18.1,1.7,1
Real Madrid,Sergio Ramos,1,20,29,Left,54.3,73.9,67.5,98.4,21.7,0.9,1
Real Madrid,Marcelo,1,20,31,Left,65.5,97.7,62.8,88.9,6.6,4.3,1
Real Madrid,Toni Kroos,1,20,33,Center,64.3,84.7,63.8,70.6,9.6,4.7,1
Real Madrid,Gareth Bale,1,20,35,Center,63.5,67.3,65.5,50.0,11.9,4.9,1
Real Madrid,Luka Modric,1,20,36,Center,65.5,49.9,72.2,50.3,7.0,0.0,1
Real Madrid,Marco Asensio,1,20,37,Center,72.3,49.0,73.0,47.5,1.3,5.3,1
Real Madrid,Gareth Bale,1,20,38,Center,77.6,43.1,80.8,49.9,5.7,0.9,1
Real Madrid,Karim Benzema,1,20,40,Center,80.8,49.9,80.3,39.4,7.2,4.6,1
Real Madrid,Marco Asensio,1,20,42,Right,76.1,28.9,88.0,7.7,19.1,5.4,1
Real Madrid,Daniel Carvajal,1,20,45,Right,91.4,10.4,80.7,14.3,11.5,2.9,1
Real Madrid,Marco Asensio,1,20,48,Center,76.0,15.9,87.5,53.3,28.2,1.1,0
Real Madrid,Marcelo,1,20,53,Right,96.7,97.2,95.0,14.6,56.2,4.7,1
Real Madrid,Daniel Carvajal,1,21,0,Center,93.2,14.0,92.7,48.7,23.6,1.6,0
Real Madrid,Casemiro,1,21,10,Center,70.1,47.4,72.2,33.0,10.0,4.9,0
Leganés,Michael Santos,1,21,11,Back,30.2,72.9,27.5,64.6,6.3,4.2,1
Leganés,Gerard Gumbau,1,21,12,Back,27.4,64.0,11.6,81.4,20.4,2.5,1
Leganés,Jonathan Silva,1,21,15,Back,11.4,81.7,44.6,79.3,34.9,6.2,0
Real Madrid,Raphael Varane,1,21,17,Center,57.6,26.2,64.2,43.5,13.7,1.0,0
Leganés,Rubén Pérez,1,21,19,Center,37.0,65.7,56.7,68.2,20.8,0.1,0
Real Madrid,Raphael Varane,1,21,21,Back,44.9,34.8,39.4,41.0,7.2,2.5,1
Real Madrid,Casemiro,1,21,25,Back,45.4,34.8,48.4,48.1,9.6,1.2,1
Real Madrid,Toni Kroos,1,21,27,Center,47.9,50.4,54.6,54.0,7.4,0.3,1
Real Madrid,Karim Benzema,1,21,28,Center,54.6,54.0,54.1,34.3,13.4,4.7,1
Real Madrid,Luka Modric,1,21,31,Right,54.5,30.7,55.8,11.3,13.3,4.8,1
Real Madrid,Daniel Carvajal,1,21,33,Right,55.8,11.1,69.1,3.1,15.0,5.9,1
Leganés,Juanfran,1,21,44,Back,14.5,31.9,23.2,34.2,9.3,0.2,1
Leganés,Javier Eraso,1,21,45,Back,23.8,32.2,14.4,10.4,17.8,4.1,1
Leganés,Juanfran,1,21,49,Back,27.6,5.9,33.0,3.2,6.0,6.0,0
Leganés,Juanfran,1,22,13,Right,39.1,0.0,60.6,13.8,25.0,0.4,0
Real Madrid,Raphael Varane,1,22,17,Back,40.2,76.9,44.2,76.6,4.2,6.2,1
Leganés,Nabil El Zhar,1,22,19,Right,56.7,10.4,66.7,11.3,10.5,0.1,1
Leganés,Javier Eraso,1,22,20,Right,67.7,11.3,57.5,3.5,12.0,3.6,1
Leganés,Juanfran,1,22,23,Left,62.5,3.8,88.8,90.3,65.0,1.1,1
Leganés,Jonathan Silva,1,22,29,Center,91.2,91.5,95.3,33.0,40.0,4.8,1
Leganés,Michael Santos,1,22,32,Center,96.2,31.2,89.6,41.2,9.7,2.4,1
Real Madrid,Karim Benzema,1,24,30,Back,50.1,50.0,42.0,40.0,10.9,3.8,1
Real Madrid,Luka Modric,1,24,31,Back,41.7,40.0,39.0,52.4,8.9,1.9,1
Real Madrid,Casemiro,1,24,33,Back,39.0,52.4,41.6,65.2,9.1,1.3,1
Real Madrid,Toni Kroos,1,24,34,Back,41.6,65.2,29.7,69.3,12.8,2.9,1
Real Madrid,Sergio Ramos,1,24,37,Back,33.8,64.0,34.9,34.9,19.8,4.8,1
Real Madrid,Luka Modric,1,24,40,Center,35.8,34.5,51.9,33.6,16.9,6.2,1
Real Madrid,Gareth Bale,1,24,41,Back,47.8,30.0,45.6,6.8,15.9,4.6,1
Real Madrid,Daniel Carvajal,1,24,46,Back,46.2,23.6,30.1,39.5,20.1,2.6,1
Real Madrid,Raphael Varane,1,24,52,Back,37.1,39.7,36.6,66.4,18.2,1.6,1
Real Madrid,Sergio Ramos,1,24,55,Left,44.1,66.6,53.3,97.1,22.9,1.1,1
Real Madrid,Marcelo,1,24,58,Back,52.8,96.2,46.0,81.2,12.5,4.1,1
Real Madrid,Sergio Ramos,1,25,1,Right,46.5,76.4,75.8,4.9,57.5,5.3,1
Real Madrid,Gareth Bale,1,25,6,Center,73.8,6.8,96.9,41.6,33.9,0.8,0
Leganés,Iván Cuéllar,1,25,21,Center,19.8,76.4,65.4,76.1,47.9,6.3,0
Real Madrid,Casemiro,1,25,25,Back,35.8,25.3,43.7,23.4,8.4,6.1,0
Real Madrid,Casemiro,1,25,38,Back,28.9,16.9,22.6,35.5,14.3,2.1,1
Real Madrid,Raphael Varane,1,25,40,Back,27.3,37.5,31.2,60.8,16.4,1.3,1
Real Madrid,Sergio Ramos,1,25,44,Back,46.9,63.9,46.1,78.2,9.8,1.7,1
Real Madrid,Toni Kroos,1,25,46,Back,45.4,69.0,46.5,41.9,18.5,4.8,1
Real Madrid,Casemiro,1,25,49,Center,47.2,36.7,62.9,33.6,16.6,6.2,1
Real Madrid,Gareth Bale,1,25,51,Right,64.7,33.1,77.6,3.2,24.4,5.3,1
Real Madrid,Daniel Carvajal,1,25,53,Right,81.2,3.2,70.1,12.2,13.2,2.7,1
Real Madrid,Luka Modric,1,25,58,Right,68.5,20.7,91.9,0.0,29.0,5.7,0
Leganés,Jonathan Silva,1,26,18,Back,18.5,100.0,13.0,84.5,13.1,4.3,1
Leganés,Gerard Gumbau,1,26,19,Back,12.4,84.5,34.9,93.5,24.4,0.3,1
Real Madrid,Toni Kroos,1,27,15,Center,64.6,23.6,53.3,65.7,31.0,2.0,1
Real Madrid,Sergio Ramos,1,27,17,Left,53.3,65.7,62.4,94.8,22.0,1.1,1
Real Madrid,Marcelo,1,27,19,Left,62.3,93.0,67.9,97.5,6.6,0.5,1
Real Madrid,Marco Asensio,1,27,21,Left,61.3,97.4,53.2,85.1,11.9,3.9,1
Real Madrid,Sergio Ramos,1,27,24,Right,50.2,80.3,53.7,2.0,53.4,4.8,1
Real Madrid,Casemiro,1,27,29,Right,53.9,1.6,55.8,1.6,2.0,0,0
Real Madrid,Thibaut Courtois,1,27,41,Back,13.8,56.3,37.4,73.8,27.5,0.4,1
Real Madrid,Toni Kroos,1,27,44,Back,37.4,73.8,44.6,92.0,14.5,1.0,1
Real Madrid,Marco Asensio,1,27,45,Back,43.7,89.0,46.6,75.7,9.5,5.0,0
Leganés,Rubén Pérez,1,27,47,Back,57.2,16.2,41.3,21.8,17.1,2.9,1
Leganés,Unai Bustinza,1,27,48,Center,41.0,21.8,53.3,23.7,13.0,0.1,1
Leganés,Rubén Pérez,1,27,50,Right,59.9,21.5,69.5,3.4,15.9,5.4,1
Leganés,Juanfran,1,27,53,Right,66.4,3.4,68.1,11.2,5.6,1.2,1
Leganés,Nabil El Zhar,1,27,56,Right,75.1,9.1,84.2,2.5,10.6,5.8,1
Leganés,Juanfran,1,28,1,Center,90.0,4.1,92.5,27.9,16.4,1.4,0
Real Madrid,Karim Benzema,1,28,5,Back,23.0,96.0,26.9,76.4,13.9,5.0,0
Leganés,Gerard Gumbau,1,28,7,Center,72.4,25.6,79.2,22.2,7.5,6.0,1
Leganés,Javier Eraso,1,28,10,Right,78.1,20.3,73.1,6.1,11.0,4.2,1
Leganés,Nabil El Zhar,1,28,12,Right,77.3,8.2,88.2,2.5,12.1,6.0,1
Leganés,Juanfran,1,28,21,Center,92.7,7.1,92.2,46.6,26.9,1.6,0
Leganés,Dimitrios Siovas,1,28,33,Center,52.9,85.1,55.7,66.7,12.9,4.9,1
Leganés,Rubén Pérez,1,28,35,Left,55.8,70.2,74.0,95.1,25.5,0.7,1
Leganés,Jonathan Silva,1,28,37,Left,71.7,96.3,58.8,95.6,13.6,3.2,1
Leganés,Gerard Gumbau,1,28,38,Back,59.0,96.3,39.6,77.8,23.9,3.7,1
Leganés,Dimitrios Siovas,1,28,42,Back,32.7,67.3,30.8,11.3,38.1,4.7,1
Leganés,Unai Bustinza,1,28,44,Back,30.8,11.3,46.4,3.5,17.2,6.0,1
Real Madrid,Marcelo,1,29,6,Back,33.6,100.0,42.4,93.6,10.9,5.7,1
Real Madrid,Karim Benzema,1,29,8,Back,42.4,93.6,44.1,81.5,8.4,4.9,0
Leganés,Gerard Gumbau,1,29,9,Back,63.1,17.6,42.4,1.6,24.3,3.6,1
Leganés,Juanfran,1,29,13,Back,42.4,1.6,33.5,13.2,12.2,2.4,1
Leganés,Unai Bustinza,1,29,16,Back,31.1,12.9,39.1,9.5,8.7,6.0,1
Leganés,Rubén Pérez,1,29,19,Back,38.2,29.5,27.2,32.5,11.7,3.0,1
Leganés,Unai Bustinza,1,29,21,Back,24.6,38.5,37.2,36.3,13.3,6.2,1
Leganés,Rubén Pérez,1,29,22,Back,37.2,36.3,23.5,30.6,14.9,3.4,1
Leganés,Unai Bustinza,1,29,27,Back,34.1,31.0,36.4,3.8,18.7,4.8,1
Leganés,Juanfran,1,29,31,Right,45.3,5.8,55.3,3.4,10.6,6.1,1
Leganés,Nabil El Zhar,1,29,34,Right,58.4,5.2,58.5,19.8,9.9,1.6,1
Leganés,Javier Eraso,1,29,35,Back,58.5,19.8,46.2,13.5,13.6,3.5,1
Leganés,Rubén Pérez,1,29,37,Left,55.6,23.6,79.8,96.8,55.9,1.1,1
Leganés,Jonathan Silva,1,29,44,Left,93.6,93.8,94.9,88.9,3.6,5.1,0
Leganés,Jonathan Silva,1,30,3,Center,93.7,100.0,97.6,61.0,27.8,4.9,0
Real Madrid,Thibaut Courtois,1,30,12,Back,14.4,46.9,19.7,71.1,17.4,1.2,1
Real Madrid,Sergio Ramos,1,30,16,Back,25.6,72.4,36.3,93.2,18.1,0.9,1
Real Madrid,Marcelo,1,30,19,Back,35.8,87.5,31.2,63.3,17.2,4.4,1
Real Madrid,Casemiro,1,30,21,Back,32.2,53.7,36.8,34.9,13.7,5.1,1
Real Madrid,Luka Modric,1,30,24,Right,36.6,33.3,55.4,2.8,28.6,5.5,1
Real Madrid,Marco Asensio,1,30,26,Back,55.5,2.3,43.4,6.1,13.0,2.9,1
Real Madrid,Daniel Carvajal,1,30,28,Back,44.8,11.6,37.1,59.9,33.8,1.8,1
Real Madrid,Sergio Ramos,1,30,32,Back,38.4,52.2,42.2,83.2,21.5,1.4,1
Real Madrid,Marcelo,1,30,35,Back,44.4,91.3,47.7,97.9,5.7,0.9,1
Real Madrid,Gareth Bale,1,30,38,Back,48.0,98.1,43.6,91.7,6.3,3.9,1
Real Madrid,Marcelo,1,30,40,Back,43.6,89.6,38.3,35.2,37.4,4.6,1
Real Madrid,Raphael Varane,1,30,43,Right,41.4,31.3,53.8,7.3,20.9,5.4,1
Real Madrid,Daniel Carvajal,1,30,46,Back,53.5,9.8,44.4,18.3,11.2,2.6,1
Real Madrid,Raphael Varane,1,30,49,Left,44.8,27.6,51.9,96.8,47.6,1.4,1
Real Madrid,Marcelo,1,30,53,Back,53.5,96.6,47.2,83.0,11.4,4.1,1
Real Madrid,Toni Kroos,1,30,56,Center,47.0,73.5,53.9,36.0,26.5,5.0,1
Real Madrid,Casemiro,1,30,59,Center,56.7,29.7,70.3,29.2,14.3,6.3,1
Real Madrid,Karim Benzema,1,31,1,Right,70.2,22.5,67.4,4.6,12.5,4.5,1
Real Madrid,Daniel Carvajal,1,31,2,Right,67.1,3.7,77.5,2.2,11.0,6.2,1
Real Madrid,Marco Asensio,1,31,3,Right,77.6,2.3,79.5,3.2,2.1,0.3,0
Real Madrid,Marco Asensio,1,31,5,Right,78.8,3.1,69.9,6.5,9.6,2.9,1
Real Madrid,Daniel Carvajal,1,31,7,Back,69.2,6.7,47.8,19.8,24.2,2.8,1
Real Madrid,Raphael Varane,1,31,9,Back,46.3,30.3,48.4,59.9,20.2,1.5,1
Real Madrid,Sergio Ramos,1,31,12,Center,52.1,59.1,56.9,77.9,13.7,1.2,1
Real Madrid,Toni Kroos,1,31,14,Center,56.6,74.4,61.9,67.2,7.4,5.6,1
Real Madrid,Luka Modric,1,31,18,Left,60.1,92.3,64.6,97.1,5.7,0.6,1
Real Madrid,Marcelo,1,31,20,Center,64.6,97.1,55.7,76.3,17.0,4.1,1
Real Madrid,Sergio Ramos,1,31,22,Center,55.4,69.6,61.9,37.7,22.7,5.0,1
Real Madrid,Casemiro,1,31,26,Right,62.5,30.6,89.9,19.5,29.7,6.0,1
Real Madrid,Daniel Carvajal,1,31,30,Center,92.5,27.3,90.6,63.3,24.6,1.7,1
Leganés,Iván Cuéllar,1,31,47,Center,13.6,46.9,64.9,21.9,56.5,6.0,0
Real Madrid,Sergio Ramos,1,32,1,Back,34.5,93.0,45.5,96.5,11.8,0.2,1
Real Madrid,Marcelo,1,32,2,Back,45.8,96.5,41.3,85.1,9.1,4.2,1
Real Madrid,Sergio Ramos,1,32,5,Back,43.9,74.8,45.8,50.0,17.0,4.8,1
Real Madrid,Casemiro,1,32,7,Right,46.3,46.9,72.0,7.1,38.2,5.5,1
Real Madrid,Marco Asensio,1,32,12,Right,74.7,5.2,65.7,3.7,9.5,3.2,1
Real Madrid,Daniel Carvajal,1,32,14,Right,65.6,9.5,62.3,19.7,7.8,2.0,1
Real Madrid,Luka Modric,1,32,16,Center,62.8,24.0,53.6,49.6,19.9,2.1,1
Real Madrid,Toni Kroos,1,32,21,Center,56.8,38.2,59.2,30.3,5.9,5.2,1
Real Madrid,Luka Modric,1,32,23,Center,61.0,29.2,70.1,42.7,13.3,0.8,1
Real Madrid,Karim Benzema,1,32,24,Center,70.1,42.7,72.2,33.4,6.7,5.0,1
Real Madrid,Marco Asensio,1,32,25,Center,72.2,33.3,73.9,37.0,3.1,1.0,1
Real Madrid,Casemiro,1,32,26,Right,73.9,37.0,80.4,6.7,21.7,5.0,1
Real Madrid,Daniel Carvajal,1,32,28,Center,80.4,6.7,96.5,26.8,21.7,0.7,1
Real Madrid,Marco Asensio,1,32,30,Center,96.5,26.8,85.4,41.8,15.5,2.4,0
Leganés,Javier Eraso,1,32,33,Back,14.7,50.9,9.8,60.6,8.4,2.2,1
Leganés,Rubén Pérez,1,32,34,Back,9.0,61.6,26.5,47.4,20.8,5.8,1
Leganés,Unai Bustinza,1,33,8,Left,32.6,47.2,73.3,94.7,53.6,0.6,1
Leganés,Guido Carrillo,1,33,10,Center,73.3,94.7,81.6,33.9,42.3,4.9,0
Real Madrid,Sergio Ramos,1,33,17,Back,26.1,77.3,29.1,71.1,5.3,5.4,1
Real Madrid,Toni Kroos,1,33,21,Right,31.1,59.3,55.1,8.2,42.9,5.3,1
Real Madrid,Marco Asensio,1,33,28,Center,62.0,37.1,52.8,60.6,18.7,2.1,1
Real Madrid,Toni Kroos,1,33,31,Left,55.1,65.7,61.3,95.9,21.5,1.3,1
Real Madrid,Marcelo,1,33,33,Left,60.2,94.8,65.2,97.4,5.5,0.3,1
Real Madrid,Gareth Bale,1,33,36,Center,61.2,88.1,56.1,74.8,10.5,4.2,1
Real Madrid,Toni Kroos,1,33,39,Center,56.1,68.4,63.1,60.8,9.0,5.7,1
Real Madrid,Luka Modric,1,33,41,Center,60.8,67.5,55.4,76.4,8.3,2.3,1
Real Madrid,Toni Kroos,1,33,45,Center,53.1,66.0,60.9,27.6,27.4,5.0,1
Real Madrid,Casemiro,1,33,49,Center,60.1,24.4,54.4,39.2,11.7,2.1,1
Real Madrid,Raphael Varane,1,33,51,Center,61.2,45.1,72.1,48.8,11.7,0.2,1
Real Madrid,Marco Asensio,1,33,52,Center,72.5,49.4,58.8,59.0,15.8,2.7,1
Real Madrid,Toni Kroos,1,33,55,Left,61.8,60.5,82.2,96.8,32.7,0.9,1
Real Madrid,Marcelo,1,34,1,Center,88.5,98.1,68.1,76.3,26.0,3.7,1
Real Madrid,Sergio Ramos,1,34,5,Left,67.5,75.7,68.8,88.9,9.1,1.4,1
Real Madrid,Luka Modric,1,34,10,Left,67.7,77.0,76.0,97.5,16.4,1.0,1
Real Madrid,Marcelo,1,34,13,Left,75.6,97.4,70.9,94.7,5.3,3.5,1
Real Madrid,Sergio Ramos,1,34,15,Center,69.9,92.0,86.9,45.8,36.1,5.2,0
Real Madrid,Luka Modric,1,34,19,Center,60.7,68.7,67.3,63.4,7.8,5.8,1
Real Madrid,Toni Kroos,1,34,21,Center,67.3,63.6,52.3,47.9,19.0,3.7,1
Real Madrid,Raphael Varane,1,34,24,Center,52.8,44.0,55.7,31.5,9.0,5.1,1
Real Madrid,Casemiro,1,34,25,Center,55.9,28.6,52.5,54.0,17.6,1.8,1
Real Madrid,Luka Modric,1,34,35,Center,60.2,66.1,51.8,46.6,15.9,4.1,1
Real Madrid,Raphael Varane,1,34,37,Center,51.8,46.6,54.9,37.6,6.9,5.2,1
Real Madrid,Casemiro,1,34,39,Right,57.5,33.9,62.5,11.6,16.0,5.0,1
Real Madrid,Marco Asensio,1,34,41,Center,57.7,8.0,52.6,52.1,30.5,1.7,1
Real Madrid,Toni Kroos,1,34,47,Left,59.1,66.0,58.0,90.3,16.6,1.6,1
Real Madrid,Sergio Ramos,1,34,49,Left,58.8,90.3,66.5,97.7,9.5,0.6,1
Real Madrid,Marcelo,1,34,51,Left,65.2,96.0,60.0,89.4,7.1,3.8,1
Real Madrid,Sergio Ramos,1,34,54,Right,60.9,81.8,80.3,10.0,52.9,5.1,1
Real Madrid,Daniel Carvajal,1,34,57,Right,80.3,9.1,73.0,18.6,10.0,2.4,1
Real Madrid,Marco Asensio,1,35,1,Right,70.1,18.2,75.3,19.8,5.6,0.2,1
Real Madrid,Luka Modric,1,35,2,Right,74.4,17.1,74.6,4.4,8.6,4.7,1
Real Madrid,Daniel Carvajal,1,35,4,Right,74.8,4.4,75.3,13.5,6.2,1.5,1
Real Madrid,Karim Benzema,1,35,5,Right,75.3,13.5,80.4,5.0,7.9,5.5,1
Real Madrid,Luka Modric,1,35,7,Right,81.6,5.3,85.8,3.1,4.7,6.0,1
